id,name,type,source,count
E00000,智能,概念,pos_tag,1
E00001,系统,概念,pos_tag,1
E00002,技术,概念,pos_tag,1
E00003,丛书,概念,pos_tag,1
E00004,方法,概念,pos_tag,1
E00005,案例,概念,pos_tag,1
E00006,邵浩,人物,pos_tag,1
E00007,张凯,人物,pos_tag,1
E00008,方圆,概念,pos_tag,1
E00009,张云柯,人物,pos_tag,1
E00010,戴锡强,人物,pos_tag,1
E00011,纸版,概念,pos_tag,1
E00012,机械,概念,pos_tag,1
E00013,工业,概念,pos_tag,1
E00014,出版社,概念,pos_tag,1
E00015,电子版,概念,pos_tag,1
E00016,华章,人物,pos_tag,1
E00017,分社,概念,pos_tag,1
E00018,北京,地点,pos_tag,1
E00019,图文,概念,pos_tag,1
E00020,信息,概念,pos_tag,1
E00021,有限公司,概念,pos_tag,1
E00022,奥维,人物,pos_tag,1
E00023,图书,概念,pos_tag,1
E00024,全球,概念,pos_tag,1
E00025,范围,概念,pos_tag,1
E00026,制作,技术,pos_tag,1
E00027,版权所有,概念,pos_tag,1
E00028,客服热线,概念,pos_tag,1
E00029,客服,概念,pos_tag,1
E00030,信箱,概念,pos_tag,1
E00031,官方,概念,pos_tag,1
E00032,网址,概念,pos_tag,1
E00033,新浪,概念,pos_tag,1
E00034,数媒,概念,pos_tag,1
E00035,微信,技术,pos_tag,1
E00036,公众,概念,pos_tag,1
E00037,电子书,概念,pos_tag,1
E00038,信号,概念,pos_tag,1
E00039,Knowledge Graph,技术,regex,1
E00040,Scratch,技术,regex,1
E00041,Techniques,技术,regex,1
E00042,Methods,技术,regex,1
E00043,Cases,技术,regex,1
E00044,ISBN,技术,regex,1
E00045,智能系统与技术,技术,regex,1
E00046,Knowledge,工具,regex,1
E00047,Graph,工具,regex,1
E00048,从零构建知识图谱,概念,regex,1
E00049,知识图谱,概念,regex,1
E00050,信息有限公司,概念,regex,1
E00051,华章图文信息有限公司,组织,regex,1
E00052,奥维博世图书发行有限公司,组织,regex,1
E00053,前言,概念,pos_tag,1
E00054,概览,概念,pos_tag,1
E00055,序言,概念,pos_tag,1
E00056,背景,概念,pos_tag,1
E00057,定义,概念,pos_tag,1
E00058,典型,概念,pos_tag,1
E00059,示例,概念,pos_tag,1
E00060,模式,概念,pos_tag,1
E00061,架构,概念,pos_tag,1
E00062,参考文献,概念,pos_tag,1
E00063,体系,概念,pos_tag,1
E00064,建模,概念,pos_tag,1
E00065,检索,技术,pos_tag,1
E00066,工具,概念,pos_tag,1
E00067,本体,概念,pos_tag,1
E00068,Prot,技术,regex,1
E00069,DeepDive,技术,regex,1
E00070,知识图谱的技术,技术,regex,1
E00071,知识图谱技术,技术,regex,1
E00072,知识图谱工具,工具,regex,1
E00073,知识建模工具,工具,regex,1
E00074,其他本体建模工具,工具,regex,1
E00075,本体建模工具,工具,regex,1
E00076,知识抽取工具,工具,regex,1
E00077,典型知识图谱,概念,regex,1
E00078,为什么需要知识图谱,概念,regex,1
E00079,知识表示与知识,概念,regex,1
E00080,知识表示,概念,regex,1
E00081,知识抽取与知识,概念,regex,1
E00082,知识存储与知识,概念,regex,1
E00083,知识检索与知识,概念,regex,1
E00084,知识图谱概览,概念,regex,1
E00085,知识图谱序言,概念,regex,1
E00086,知识图谱基本概念,概念,regex,1
E00087,知识图谱背景,概念,regex,1
E00088,知识图谱的定义,概念,regex,1
E00089,知识图谱示例,概念,regex,1
E00090,知识图谱的模式,概念,regex,1
E00091,知识图谱的典型应,概念,regex,1
E00092,知识图谱的技术架,概念,regex,1
E00093,知识图谱技术体系,概念,regex,1
E00094,知识表示与知识建,概念,regex,1
E00095,知识建模,概念,regex,1
E00096,知识抽取与知识挖,概念,regex,1
E00097,知识抽取,概念,regex,1
E00098,知识挖掘,概念,regex,1
E00099,知识存储与知识融,概念,regex,1
E00100,知识存储,概念,regex,1
E00101,知识融合,概念,regex,1
E00102,知识检索与知识推,概念,regex,1
E00103,知识检索,概念,regex,1
E00104,知识推理,概念,regex,1
E00105,概念,概念,dict,1
E00106,部署,概念,pos_tag,1
E00107,可视化,概念,pos_tag,1
E00108,模型,概念,pos_tag,1
E00109,数据,概念,pos_tag,1
E00110,来源,概念,pos_tag,1
E00111,实体,概念,pos_tag,1
E00112,链接,概念,pos_tag,1
E00113,分类,概念,pos_tag,1
E00114,属性,概念,pos_tag,1
E00115,领域,概念,pos_tag,1
E00116,医药,概念,pos_tag,1
E00117,图谱,概念,pos_tag,1
E00118,用户,概念,pos_tag,1
E00119,画像,概念,pos_tag,1
E00120,Neo,技术,regex,1
E00121,属性图存储模型,技术,regex,1
E00122,其他知识抽取工具,工具,regex,1
E00123,知识存储工具,工具,regex,1
E00124,其他图数据库,工具,regex,1
E00125,其他知识,概念,regex,1
E00126,从零构建通用知识图谱,概念,regex,1
E00127,通用知识表示,概念,regex,1
E00128,通用知识,概念,regex,1
E00129,实体层知识,概念,regex,1
E00130,百科知识,概念,regex,1
E00131,领域知识图谱,概念,regex,1
E00132,医药领域知识图谱,概念,regex,1
E00133,领域知识,概念,regex,1
E00134,领域图谱,概念,regex,1
E00135,用户画像图谱,概念,regex,1
E00136,用户画像知识表示,概念,regex,1
E00137,知识抽取工具对比,概念,regex,1
E00138,知识表示与抽取,概念,regex,1
E00139,知识数据来源,概念,regex,1
E00140,知识增强,概念,regex,1
E00141,知识存储与更新,概念,regex,1
E00142,知识更新,概念,regex,1
E00143,知识图谱构建,概念,regex,1
E00144,知识抽取和挖掘,概念,regex,1
E00145,知识图谱应用,概念,regex,1
E00146,图数据库,概念,dict,1
E00147,Neo4j,概念,dict,1
E00148,图谱构建,概念,dict,1
E00149,图谱应用,概念,dict,1
E00150,小结,概念,pos_tag,1
E00151,步骤,概念,pos_tag,1
E00152,流程,概念,pos_tag,1
E00153,整体,概念,pos_tag,1
E00154,话题,概念,pos_tag,1
E00155,排序,概念,pos_tag,1
E00156,基础,概念,pos_tag,1
E00157,意图,概念,pos_tag,1
E00158,文本,概念,pos_tag,1
E00159,对话,概念,pos_tag,1
E00160,管理,技术,pos_tag,1
E00161,服务化,概念,pos_tag,1
E00162,ECharts,技术,regex,1
E00163,NLU,技术,regex,1
