id,subject,predicate,object,confidence,count
R00000,智能,相关,智能系统与技术,0.5,1
R00001,系统,相关,智能系统与技术,0.5,1
R00002,技术,相关,智能系统与技术,0.5,1
R00003,丛书,相关,智能系统与技术,0.5,1
R00004,Knowledge Graph,相关,Knowledge,0.5,1
R00005,Knowledge Graph,相关,Graph,0.5,1
R00006,Scratch,相关,Knowledge,0.5,1
R00007,Scratch,相关,Graph,0.5,1
R00008,Techniques,相关,Knowledge,0.5,1
R00009,Techniques,相关,Graph,0.5,1
R00010,邵浩,相关,方圆,0.5,1
R00011,张凯,相关,方圆,0.5,1
R00012,方圆,相关,张云柯,0.5,1
R00013,方圆,相关,戴锡强,0.5,1
R00014,纸版,相关,华章,0.5,1
R00015,纸版,相关,北京,0.5,1
R00016,机械,相关,华章,0.5,1
R00017,机械,相关,北京,0.5,1
R00018,工业,相关,华章,0.5,1
R00019,工业,相关,北京,0.5,1
R00020,出版社,相关,华章,0.5,1
R00021,出版社,相关,北京,0.5,1
R00022,电子版,相关,华章,0.5,1
R00023,电子版,相关,北京,0.5,1
R00024,华章,相关,分社,0.5,1
R00025,华章,相关,北京,0.5,1
R00026,分社,相关,北京,0.5,1
R00027,华章,相关,图文,0.5,1
R00028,华章,相关,信息,0.5,1
R00029,华章,相关,有限公司,0.5,1
R00030,华章,相关,图书,0.5,1
R00031,华章,相关,全球,0.5,1
R00032,华章,相关,范围,0.5,1
R00033,华章,相关,信息有限公司,0.5,1
R00034,华章,相关,华章图文信息有限公司,0.5,1
R00035,华章,相关,奥维博世图书发行有限公司,0.5,1
R00036,北京,相关,图文,0.5,1
R00037,北京,相关,信息,0.5,1
R00038,北京,相关,有限公司,0.5,1
R00039,北京,相关,奥维,0.5,1
R00040,北京,相关,图书,0.5,1
R00041,北京,相关,全球,0.5,1
R00042,北京,相关,范围,0.5,1
R00043,北京,相关,信息有限公司,0.5,1
R00044,北京,相关,华章图文信息有限公司,0.5,1
R00045,北京,相关,奥维博世图书发行有限公司,0.5,1
R00046,图文,相关,奥维,0.5,1
R00047,图文,相关,华章图文信息有限公司,0.5,1
R00048,图文,相关,奥维博世图书发行有限公司,0.5,1
R00049,信息,相关,奥维,0.5,1
R00050,信息,相关,华章图文信息有限公司,0.5,1
R00051,信息,相关,奥维博世图书发行有限公司,0.5,1
R00052,有限公司,相关,奥维,0.5,1
R00053,有限公司,相关,华章图文信息有限公司,0.5,1
R00054,有限公司,相关,奥维博世图书发行有限公司,0.5,1
R00055,奥维,相关,图书,0.5,1
R00056,奥维,相关,全球,0.5,1
R00057,奥维,相关,范围,0.5,1
R00058,奥维,相关,信息有限公司,0.5,1
R00059,奥维,相关,华章图文信息有限公司,0.5,1
R00060,奥维,相关,奥维博世图书发行有限公司,0.5,1
R00061,图书,相关,华章图文信息有限公司,0.5,1
R00062,图书,相关,奥维博世图书发行有限公司,0.5,1
R00063,全球,相关,华章图文信息有限公司,0.5,1
R00064,全球,相关,奥维博世图书发行有限公司,0.5,1
R00065,范围,相关,华章图文信息有限公司,0.5,1
R00066,范围,相关,奥维博世图书发行有限公司,0.5,1
R00067,信息有限公司,相关,华章图文信息有限公司,0.5,1
R00068,信息有限公司,相关,奥维博世图书发行有限公司,0.5,1
R00069,华章,相关,新浪,0.5,1
R00070,华章,相关,数媒,0.5,1
R00071,华章,相关,微信,0.5,1
R00072,华章,相关,公众,0.5,1
R00073,华章,相关,电子书,0.5,1
R00074,华章,相关,信号,0.5,1
R00075,微信,相关,公众,0.5,1
R00076,微信,相关,电子书,0.5,1
R00077,微信,相关,信号,0.5,1
R00078,技术,相关,知识图谱的技术,0.5,1
R00079,架构,相关,知识图谱的技术,0.5,1
R00080,知识图谱的技术,相关,知识图谱,0.5,1
R00081,知识图谱的技术,相关,知识图谱的技术架,0.5,1
R00082,技术,相关,知识图谱技术,0.5,1
R00083,体系,相关,知识图谱技术,0.5,1
R00084,知识图谱技术,相关,知识图谱,0.5,1
R00085,知识图谱技术,相关,知识图谱技术体系,0.5,1
R00086,检索,相关,知识检索与知识,0.5,1
R00087,检索,相关,知识检索与知识推,0.5,1
R00088,检索,相关,知识检索,0.5,1
R00089,检索,相关,知识推理,0.5,1
R00090,工具,相关,知识图谱工具,0.5,1
R00091,知识图谱工具,相关,知识图谱,0.5,1
R00092,建模,相关,知识建模工具,0.5,1
R00093,工具,相关,知识建模工具,0.5,1
R00094,知识建模工具,相关,知识建模,0.5,1
R00095,建模,相关,其他本体建模工具,0.5,1
R00096,建模,相关,本体建模工具,0.5,1
