subject,subject_type,predicate,object,object_type,confidence
智能,概念,相关,智能系统与技术,技术,0.5
系统,概念,相关,智能系统与技术,技术,0.5
技术,概念,相关,智能系统与技术,技术,0.5
丛书,概念,相关,智能系统与技术,技术,0.5
Knowledge Graph,技术,相关,Knowledge,工具,0.5
Knowledge Graph,技术,相关,Graph,工具,0.5
Scratch,技术,相关,Knowledge,工具,0.5
Scratch,技术,相关,Graph,工具,0.5
Techniques,技术,相关,Knowledge,工具,0.5
Techniques,技术,相关,Graph,工具,0.5
邵浩,人物,相关,方圆,概念,0.5
张凯,人物,相关,方圆,概念,0.5
方圆,概念,相关,张云柯,人物,0.5
方圆,概念,相关,戴锡强,人物,0.5
纸版,概念,相关,华章,人物,0.5
纸版,概念,相关,北京,地点,0.5
机械,概念,相关,华章,人物,0.5
机械,概念,相关,北京,地点,0.5
工业,概念,相关,华章,人物,0.5
工业,概念,相关,北京,地点,0.5
出版社,概念,相关,华章,人物,0.5
出版社,概念,相关,北京,地点,0.5
电子版,概念,相关,华章,人物,0.5
电子版,概念,相关,北京,地点,0.5
华章,人物,相关,分社,概念,0.5
华章,人物,相关,北京,地点,0.5
分社,概念,相关,北京,地点,0.5
华章,人物,相关,北京,地点,0.5
华章,人物,相关,图文,概念,0.5
华章,人物,相关,信息,概念,0.5
华章,人物,相关,有限公司,概念,0.5
华章,人物,相关,图书,概念,0.5
华章,人物,相关,全球,概念,0.5
华章,人物,相关,范围,概念,0.5
华章,人物,相关,信息有限公司,概念,0.5
华章,人物,相关,华章图文信息有限公司,组织,0.5
华章,人物,相关,奥维博世图书发行有限公司,组织,0.5
北京,地点,相关,图文,概念,0.5
北京,地点,相关,信息,概念,0.5
北京,地点,相关,有限公司,概念,0.5
北京,地点,相关,奥维,人物,0.5
北京,地点,相关,图书,概念,0.5
北京,地点,相关,全球,概念,0.5
北京,地点,相关,范围,概念,0.5
北京,地点,相关,信息有限公司,概念,0.5
北京,地点,相关,华章图文信息有限公司,组织,0.5
北京,地点,相关,奥维博世图书发行有限公司,组织,0.5
图文,概念,相关,奥维,人物,0.5
图文,概念,相关,华章图文信息有限公司,组织,0.5
图文,概念,相关,奥维博世图书发行有限公司,组织,0.5
信息,概念,相关,奥维,人物,0.5
信息,概念,相关,华章图文信息有限公司,组织,0.5
信息,概念,相关,奥维博世图书发行有限公司,组织,0.5
有限公司,概念,相关,奥维,人物,0.5
有限公司,概念,相关,华章图文信息有限公司,组织,0.5
有限公司,概念,相关,奥维博世图书发行有限公司,组织,0.5
奥维,人物,相关,图书,概念,0.5
奥维,人物,相关,全球,概念,0.5
奥维,人物,相关,范围,概念,0.5
奥维,人物,相关,信息有限公司,概念,0.5
奥维,人物,相关,华章图文信息有限公司,组织,0.5
奥维,人物,相关,奥维博世图书发行有限公司,组织,0.5
图书,概念,相关,华章图文信息有限公司,组织,0.5
图书,概念,相关,奥维博世图书发行有限公司,组织,0.5
全球,概念,相关,华章图文信息有限公司,组织,0.5
全球,概念,相关,奥维博世图书发行有限公司,组织,0.5
范围,概念,相关,华章图文信息有限公司,组织,0.5
范围,概念,相关,奥维博世图书发行有限公司,组织,0.5
信息有限公司,概念,相关,华章图文信息有限公司,组织,0.5
信息有限公司,概念,相关,奥维博世图书发行有限公司,组织,0.5
华章,人物,相关,新浪,概念,0.5
华章,人物,相关,数媒,概念,0.5
华章,人物,相关,微信,技术,0.5
华章,人物,相关,公众,概念,0.5
华章,人物,相关,电子书,概念,0.5
华章,人物,相关,信号,概念,0.5
微信,技术,相关,公众,概念,0.5
微信,技术,相关,电子书,概念,0.5
微信,技术,相关,信号,概念,0.5
技术,概念,相关,知识图谱的技术,技术,0.5
架构,概念,相关,知识图谱的技术,技术,0.5
知识图谱的技术,技术,相关,知识图谱,概念,0.5
知识图谱的技术,技术,相关,知识图谱的技术架,概念,0.5
技术,概念,相关,知识图谱技术,技术,0.5
体系,概念,相关,知识图谱技术,技术,0.5
知识图谱技术,技术,相关,知识图谱,概念,0.5
知识图谱技术,技术,相关,知识图谱技术体系,概念,0.5
检索,技术,相关,知识检索与知识,概念,0.5
检索,技术,相关,知识检索与知识推,概念,0.5
检索,技术,相关,知识检索,概念,0.5
检索,技术,相关,知识推理,概念,0.5
检索,技术,相关,知识检索,概念,0.5
工具,概念,相关,知识图谱工具,工具,0.5
知识图谱工具,工具,相关,知识图谱,概念,0.5
建模,概念,相关,知识建模工具,工具,0.5
工具,概念,相关,知识建模工具,工具,0.5
知识建模工具,工具,相关,知识建模,概念,0.5
建模,概念,相关,其他本体建模工具,工具,0.5
建模,概念,相关,本体建模工具,工具,0.5
工具,概念,相关,其他本体建模工具,工具,0.5
工具,概念,相关,本体建模工具,工具,0.5
本体,概念,相关,其他本体建模工具,工具,0.5
本体,概念,相关,本体建模工具,工具,0.5
建模,概念,相关,本体建模工具,工具,0.5
工具,概念,相关,本体建模工具,工具,0.5
本体,概念,相关,本体建模工具,工具,0.5
工具,概念,相关,知识抽取工具,工具,0.5
知识抽取工具,工具,相关,知识抽取,概念,0.5
工具,概念,相关,其他知识抽取工具,工具,0.5
工具,概念,相关,知识抽取工具,工具,0.5
其他知识抽取工具,工具,相关,其他知识,概念,0.5
其他知识抽取工具,工具,相关,知识抽取,概念,0.5
知识抽取工具,工具,相关,其他知识,概念,0.5
知识抽取工具,工具,相关,知识抽取,概念,0.5
工具,概念,相关,知识抽取工具,工具,0.5
知识抽取工具,工具,相关,知识抽取工具对比,概念,0.5
知识抽取工具,工具,相关,知识抽取,概念,0.5
工具,概念,相关,知识存储工具,工具,0.5
知识存储工具,工具,相关,知识存储,概念,0.5
Neo,技术,相关,Neo4j,概念,0.5
部署,概念,相关,Neo,技术,0.5
Neo,技术,相关,Neo4j,概念,0.5
数据,概念,相关,其他图数据库,工具,0.5
其他图数据库,工具,相关,图数据库,概念,0.5
模型,概念,相关,属性图存储模型,技术,0.5
属性,概念,相关,属性图存储模型,技术,0.5
工具,概念,相关,其他工具,工具,0.5
工具,概念,相关,实体链接工具,工具,0.5
实体,概念,相关,实体链接工具,工具,0.5
链接,概念,相关,实体链接工具,工具,0.5
系统,概念,相关,知识问答系统,技术,0.5
系统,概念,相关,问答系统,技术,0.5
知识问答系统,技术,相关,知识问答,概念,0.5
知识问答系统,技术,相关,知识问答系统概述,概念,0.5
问答系统,技术,相关,知识问答,概念,0.5
问答系统,技术,相关,知识问答系统概述,概念,0.5
系统,概念,相关,知识问答系统,技术,0.5
系统,概念,相关,问答系统,技术,0.5
流程,概念,相关,知识问答系统,技术,0.5
流程,概念,相关,问答系统,技术,0.5
知识问答系统,技术,相关,知识问答,概念,0.5
